_id,courses,course_name,college_id
68d2bb965fe22b7046c07d48,"B.Tech, M.Tech, PhD, MBA",,
68d2bb965fe22b7046c07d49,"B.Tech, M.Tech, PhD, MBA",,
68d2bb965fe22b7046c07d4a,"B.Tech, M.Tech, PhD, MBA",,
68d2bb965fe22b7046c07d4b,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d4c,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d4d,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d4e,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d4f,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d50,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d51,"B.E, M.E, MSc, MBA",,
68d2bb965fe22b7046c07d52,"B.Tech, M.Tech, MBA",,
68d2bb965fe22b7046c07d53,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d54,"BS-MS, PhD",,
68d2bb965fe22b7046c07d55,"B.Tech, BA, BSc, MBA",,
68d2bb965fe22b7046c07d56,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d57,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d58,"B.Tech, M.Tech, MBA",,
68d2bb965fe22b7046c07d59,"B.Tech, M.Tech, BA, MA",,
68d2bb965fe22b7046c07d5a,"BA, BSc, B.Tech (affiliated), MBA",,
68d2bb965fe22b7046c07d5b,"PGP, PhD, Executive Programs",,
68d2bb965fe22b7046c07d5c,"BSc, MTech, PhD",,
68d2bb965fe22b7046c07d5d,"BStat, MStat, PhD",,
68d2bb965fe22b7046c07d5e,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d5f,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d60,"PGP, PhD",,
68d2bb965fe22b7046c07d61,"B.Tech, M.Tech, MBBS, MBA",,
68d2bb965fe22b7046c07d62,"BA, BSc, BTech, MA",,
68d2bb965fe22b7046c07d63,"MBBS, MD, MS, Nursing",,
68d2bb965fe22b7046c07d64,"BTech, BA, MBA, Medical",,
68d2bb965fe22b7046c07d65,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d66,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d67,"BA, BSc, BTech, MBA",,
68d2bb965fe22b7046c07d68,"B.Tech, M.Tech, MBA",,
68d2bb965fe22b7046c07d69,"BA, BSc, BCom, MA",,
68d2bb965fe22b7046c07d6a,"B.E, M.E",,
68d2bb965fe22b7046c07d6b,"B.E, M.E, MBA",,
68d2bb965fe22b7046c07d6c,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d6d,"PGP, PhD",,
68d2bb965fe22b7046c07d6e,"B.Tech, M.Tech",,
68d2bb965fe22b7046c07d6f,"BA, BSc, BCom",,
68d2bb965fe22b7046c07d70,"BA, BBA, BTech, MBA",,
68d2bb965fe22b7046c07d71,"PGP, Executive Education",,
68d2bb965fe22b7046c07d72,"LLB, LLM, PhD",,
68d2bb965fe22b7046c07d73,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d74,"MBBS, MD, MS, Nursing",,
68d2bb965fe22b7046c07d75,"BA, BSc, BTech, MA",,
68d2bb965fe22b7046c07d76,"BTech, BA, BSc, MBBS, MA",,
68d2bb965fe22b7046c07d77,"BA, BSc, BCom",,
68d2bb965fe22b7046c07d78,"B.Tech, M.Tech, PhD",,
68d2bb965fe22b7046c07d79,"B.Tech, M.Tech, PhD",,
68e293fb00b26410a37113f4,,mca,
68e293fb00b26410a37113f5,,bca,
68e293fb00b26410a37113f6,,bthedh,
68e2954db72020da19ee2a56,,mca,68e2747739cd824f8a2ee7f5
68e2954db72020da19ee2a57,,bca,68e2747739cd824f8a2ee7f5
68e2954db72020da19ee2a58,,btech,68e2747739cd824f8a2ee7f5
690f2f4214fcbd90dd13f445,,B,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f446,,A,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f447,,S,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f448,,c,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f449,,C,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f44a,,o,68bd46f8d5c527cd8bcfec0a
690f2f4214fcbd90dd13f44b,,m,68bd46f8d5c527cd8bcfec0a
