_id,city,state,college_name,college_website,ranking,avg_fee,placement_rating,exam,cutoff,description,image,courses,facilities,courses[0],courses[1],courses[2],courses[3],courses[4],courses[5],courses[6],courses[7],courses[8],facilities[0],facilities[1],facilities[2],facilities[3],facilities[4],facilities[5],facilities[6],facilities[7],facilities[8],facilities[9],facilities[10],facilities[11],facilities[12],ave_fee
68af0f63a9ca52bdaa3f3bbf,Pune,Pune,SDJ International,http://sdjinternational.edu,12,50000,1,gcat,99%,Good,sdjinternational.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
68bd46f8d5c527cd8bcfec07,Mumbai,Maharashtra,IIT Bombay,http://iitb.ac.in,1,200000,9.5,JEE Advanced,98%,Premier engineering institute,iitbombay.jpeg,"B.Tech, M.Tech","Library, Hostel",,,,,,,,,,,,,,,,,,,,,,,
68bd46f8d5c527cd8bcfec08,Delhi,Delhi,IIT Delhi,http://iitd.ac.in,2,210000,9.4,JEE Advanced,97%,Leading research institution,college2.jpeg,"B.Tech, M.Tech","Library, Hostel",,,,,,,,,,,,,,,,,,,,,,,
68bd46f8d5c527cd8bcfec09,Trichy,Tamil Nadu,NIT Trichy,http://nitt.edu,10,150000,8.5,JEE Main,92%,Excellent placements and faculty,nit_tricy.jpeg,"B.Tech, M.Tech","Library, Hostel",,,,,,,,,,,,,,,,,,,,,,,
68bd46f8d5c527cd8bcfec0a,Delhi,Delhi,Delhi University,http://du.ac.in,20,80000,8,CUET,85%,Top-ranked Indian university,dilhi_uni.jpeg,,,B,A,B,S,c,B,C,o,m,L,i,b,r,a,r,y,H,o,s,t,e,l,
68bd46f8d5c527cd8bcfec0b,Ranchi,Jharkhand,BIT Mesra,http://bitmesra.ac.in,25,140000,8,JEE Main,85%,Industry collaboration focused,BIT Mesra.jpeg,"B.Tech, M.Tech","Library, Hostel",,,,,,,,,,,,,,,,,,,,,,,
68d2b7c25fe22b7046c07d09,Mumbai,Maharashtra,Indian Institute of Technology Bombay1,https://www.iitb.ac.in,1,,5,JEE Advanced,Top 2000 (approx),Premier engineering institute with strong research and industry connections.,iitbombay.jpg,"B.Tech, M.Tech, PhD, MBA","Hostel, Library, Labs, Sports Complex",,,,,,,,,,,,,,,,,,,,,,,200000
68d2b7c25fe22b7046c07d0a,Delhi,Delhi,Indian Institute of Technology Delhi,https://home.iitd.ac.in,2,,5,JEE Advanced,Top 2500 (approx),Top engineering and technological university with high placement rates.,iit_delhi.jpg,"B.Tech, M.Tech, PhD, MBA","Hostels, Research Labs, Incubation Center",,,,,,,,,,,,,,,,,,,,,,,200000
68d2b7c25fe22b7046c07d0b,Chennai,Tamil Nadu,Indian Institute of Technology Madras,https://www.iitm.ac.in,3,,5,JEE Advanced,Top 3000 (approx),Leading engineering institute known for strong academics and research.,iit_madras.jpg,"B.Tech, M.Tech, PhD, MBA","Hostels, Labs, Sports Grounds",,,,,,,,,,,,,,,,,,,,,,,200000
68d2b7c25fe22b7046c07d0c,Kanpur,Uttar Pradesh,Indian Institute of Technology Kanpur,https://www.iitk.ac.in,4,,5,JEE Advanced,Top 4000 (approx),Top-tier technical institute with broad research programs.,iit_kanpur.jpg,"B.Tech, M.Tech, PhD","Hostel, Library, Research Labs",,,,,,,,,,,,,,,,,,,,,,,200000
68d2b7c25fe22b7046c07d0d,Kharagpur,West Bengal,Indian Institute of Technology Kharagpur,https://www.iitkgp.ac.in,5,,5,JEE Advanced,Top 5000 (approx),One of the oldest IITs with diverse engineering programs.,iit_kharagpur.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Central Library",,,,,,,,,,,,,,,,,,,,,,,180000
68d2b7c25fe22b7046c07d0e,Varanasi,Uttar Pradesh,Indian Institute of Technology (BHU) Varanasi,https://www.iitbhu.ac.in,6,,4,JEE Advanced,Top 8000 (approx),IIT in Varanasi with strong traditions and academics.,iit_bhu.jpg,"B.Tech, M.Tech, PhD","Hostel, Library, Labs",,,,,,,,,,,,,,,,,,,,,,,170000
68d2b7c25fe22b7046c07d0f,Roorkee,Uttarakhand,Indian Institute of Technology Roorkee,https://www.iitr.ac.in,7,,4,JEE Advanced,Top 9000 (approx),Historic engineering institute with wide alumni network.,iit_roorkee.jpg,"B.Tech, M.Tech, PhD","Hostels, Sports, Labs",,,,,,,,,,,,,,,,,,,,,,,170000
68d2b7c25fe22b7046c07d10,Guwahati,Assam,Indian Institute of Technology Guwahati,https://www.iitg.ac.in,8,,4,JEE Advanced,Top 10000 (approx),Leading technical institute in Northeast India.,iit_guwahati.jpg,"B.Tech, M.Tech, PhD","Hostel, Labs, Library",,,,,,,,,,,,,,,,,,,,,,,160000
68d2b7c25fe22b7046c07d11,Hyderabad,Telangana,Indian Institute of Technology Hyderabad,https://www.iith.ac.in,9,,4,JEE Advanced,Top 11000 (approx),Rapidly rising IIT with strong tech focus.,iit_hyderabad.jpg,"B.Tech, M.Tech, PhD","Hostels, Research Labs, Incubators",,,,,,,,,,,,,,,,,,,,,,,160000
68d2b7c25fe22b7046c07d12,Pilani,Rajasthan,"Birla Institute of Technology and Science, Pilani (BITS Pilani)",https://www.bits-pilani.ac.in,10,,5,BITSAT,BITSAT 250-300 (approx),Highly reputed private technical university with strong placement.,bits_pilani.jpg,"B.E, M.E, MSc, MBA","Hostel, Labs, Industry Placements",,,,,,,,,,,,,,,,,,,,,,,250000
68d2b7c25fe22b7046c07d13,Vellore,Tamil Nadu,Vellore Institute of Technology (VIT),https://vit.ac.in,11,,4,VITEEE,VITEEE 8000 rank (approx),Large private technical institute with multiple campuses.,vit_vellore.jpg,"B.Tech, M.Tech, MBA","Hostel, Labs, Sports Complex",,,,,,,,,,,,,,,,,,,,,,,140000
68d2b7c25fe22b7046c07d14,Surat,Gujarat,Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),https://www.daiict.ac.in,35,,4,ACPC / JEE Main,State rank based (approx),Specialized institute for ICT and computer science.,daiict.jpg,"B.Tech, M.Tech, PhD","Hostel, Labs, Library",,,,,,,,,,,,,,,,,,,,,,,120000
68d2b7c25fe22b7046c07d15,Mumbai,Maharashtra,Indian Institute of Science Education and Research (IISER) Pune,https://www.iiserpune.ac.in,20,,4,IISER Aptitude / KVPY,Varies,Top science research and education institute.,iiser_pune.jpg,"BS-MS, PhD","Labs, Research Centers, Hostels",,,,,,,,,,,,,,,,,,,,,,,150000
68d2b7c25fe22b7046c07d16,Pune,Maharashtra,Savitribai Phule Pune University,http://www.unipune.ac.in,40,,3,Varies by college,Varies,Large public university with many affiliated colleges.,unipune.jpg,"B.Tech, BA, BSc, MBA","Libraries, Hostels, Sports",,,,,,,,,,,,,,,,,,,,,,,40000
68d2b7c25fe22b7046c07d17,Kozhikode,Kerala,National Institute of Technology Calicut,https://www.nitc.ac.in,25,,4,JEE Main,JEE Main rank approx 20000,Premier NIT with strong engineering programs.,nit_calicut.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Campus Amenities",,,,,,,,,,,,,,,,,,,,,,,90000
68d2b7c25fe22b7046c07d18,Tiruchirappalli,Tamil Nadu,"National Institute of Technology, Tiruchirappalli (NIT Trichy)",https://www.nitt.edu,12,,5,JEE Main,JEE Main rank approx 15000,Top NIT known for placements and academics.,nit_trichy.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Sports",,,,,,,,,,,,,,,,,,,,,,,100000
68d2b7c25fe22b7046c07d19,Mangalore,Karnataka,"Manipal Institute of Technology (MIT), Manipal",https://manipal.edu,30,,4,MET / JEE Main,MET rank approx (varies),Well-known private university with diverse programs.,manipal_it.jpg,"B.Tech, M.Tech, MBA","Hostel, Labs, Hospital (Manipal)",,,,,,,,,,,,,,,,,,,,,,,180000
68d2b7c25fe22b7046c07d1a,Kolkata,West Bengal,Jadavpur University,http://www.jdvu.ac.in,18,,4,University Entrance / JEE Main for some programs,High (varies),Reputed public university strong in engineering and arts.,jadavpur.jpg,"B.Tech, M.Tech, BA, MA","Hostels, Libraries, Labs",,,,,,,,,,,,,,,,,,,,,,,50000
68d2b7c25fe22b7046c07d1b,Hyderabad,Telangana,Osmania University,https://www.osmania.ac.in,50,,3,State entrance,Varies,Large historic public university.,osmania.jpg,"BA, BSc, B.Tech (affiliated), MBA","Libraries, Hostels, Sports",,,,,,,,,,,,,,,,,,,,,,,30000
68d2b7c25fe22b7046c07d1c,Ahmedabad,Gujarat,Indian Institute of Management Ahmedabad (IIMA),https://www.iima.ac.in,1,,5,CAT,High (CAT percentile),Top management institute in India.,iima.jpg,"PGP, PhD, Executive Programs","Hostels, Incubator, Library",,,,,,,,,,,,,,,,,,,,,,,2500000
68d2b7c25fe22b7046c07d1d,Bengaluru,Karnataka,Indian Institute of Science (IISc) Bangalore,https://www.iisc.ac.in,2,,5,JAM / GATE / IISc exams,Varies,Premier research institute in science and engineering.,iisc.jpg,"BSc, MTech, PhD","Research Labs, Hostels, Libraries",,,,,,,,,,,,,,,,,,,,,,,150000
68d2b7c25fe22b7046c07d1e,Kolkata,West Bengal,"Indian Statistical Institute, Kolkata",https://www.isical.ac.in,15,,4,ISI entrance,Competitive,"Renowned for statistics, mathematics, and related sciences.",isi_kolkata.jpg,"BStat, MStat, PhD","Hostel, Library, Labs",,,,,,,,,,,,,,,,,,,,,,,60000
68d2b7c25fe22b7046c07d1f,Bhopal,Madhya Pradesh,Indian Institute of Technology Indore,https://www.iiti.ac.in,22,,4,JEE Advanced,Varies,Fast-growing IIT with expanding research.,iit_indore.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Sports",,,,,,,,,,,,,,,,,,,,,,,140000
68d2b7c25fe22b7046c07d20,Rourkela,Odisha,National Institute of Technology Rourkela,https://www.nitrkl.ac.in,28,,4,JEE Main,Varies,Strong NIT with good placement history.,nit_rourkela.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Library",,,,,,,,,,,,,,,,,,,,,,,80000
68d2b7c25fe22b7046c07d21,Kharagpur,West Bengal,Indian Institute of Management Calcutta (IIM Calcutta),https://www.iimcal.ac.in,2,,5,CAT,High percentile,Top management institute with excellent placements.,iim_calcutta.jpg,"PGP, PhD","Hostels, Corporate Connect",,,,,,,,,,,,,,,,,,,,,,,2300000
68d2b7c25fe22b7046c07d22,Coimbatore,Tamil Nadu,"Amrita Vishwa Vidyapeetham, Coimbatore",https://www.amrita.edu,32,,4,AEEE / JEE Main,Varies,Renowned private university with strong engineering and healthcare programs.,amrita_coimbatore.jpg,"B.Tech, M.Tech, MBBS, MBA","Hospitals, Hostels, Labs",,,,,,,,,,,,,,,,,,,,,,,130000
68d2b7c25fe22b7046c07d23,Chandigarh,Chandigarh,Panjab University,http://www.puchd.ac.in,45,,3,PUCET / Entrance,Varies,Historic public university with diverse programs.,puchd.jpg,"BA, BSc, BTech, MA","Hostels, Libraries, Sports",,,,,,,,,,,,,,,,,,,,,,,35000
68d2b7c25fe22b7046c07d24,Lucknow,Uttar Pradesh,King George's Medical University (KGMU),https://www.kgmu.org,20,,4,NEET,High (state/national ranks),Leading medical university in Uttar Pradesh.,kgmu.jpg,"MBBS, MD, MS, Nursing","Hospital, Labs, Hostels",,,,,,,,,,,,,,,,,,,,,,,150000
68d2b7c25fe22b7046c07d25,Ahmednagar,Maharashtra,"Bharati Vidyapeeth Deemed University, Pune",https://www.bvuniversity.edu.in,60,,3,University entrance,Varies,Large deemed university with multiple faculties.,bharati_vidyapeeth.jpg,"BTech, BA, MBA, Medical","Hostels, Labs, Clinics",,,,,,,,,,,,,,,,,,,,,,,60000
68d2b7c25fe22b7046c07d26,Surathkal,Karnataka,"National Institute of Technology Karnataka (NITK), Surathkal",https://www.nitk.ac.in,14,,5,JEE Main,Varies,Top NIT with strong placement and academics.,nitk_surathkal.jpg,"B.Tech, M.Tech, PhD","Hostels, Sports, Labs",,,,,,,,,,,,,,,,,,,,,,,100000
68d2b7c25fe22b7046c07d27,Raipur,Chhattisgarh,Indian Institute of Technology Bhilai (IIT Bhilai),https://www.iitbhilai.ac.in,90,,3,JEE Advanced,Varies,Newer IIT with growing programs.,iit_bhilai.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs",,,,,,,,,,,,,,,,,,,,,,,90000
68d2b7c25fe22b7046c07d28,Dehradun,Uttarakhand,Doon University,http://www.doonuniversity.org,120,,3,Entrance / JEE Main for engineering,Varies,State university with diverse courses.,doon_university.jpg,"BA, BSc, BTech, MBA","Hostels, Library, Labs",,,,,,,,,,,,,,,,,,,,,,,45000
68d2b7c25fe22b7046c07d29,Noida,Uttar Pradesh,Jaypee Institute of Information Technology (JIIT),https://www.jiit.ac.in,85,,3,JEE Main / Institute exam,Varies,Private tech-focused institute.,jiit.jpg,"B.Tech, M.Tech, MBA","Hostels, Labs, Incubation",,,,,,,,,,,,,,,,,,,,,,,140000
68d2b7c25fe22b7046c07d2a,Guwahati,Assam,Gauhati University,http://www.gauhati.ac.in,200,,2,State entrance,Varies,Major public university in Assam.,gauhati_univ.jpg,"BA, BSc, BCom, MA","Hostels, Library",,,,,,,,,,,,,,,,,,,,,,,20000
68d2b7c25fe22b7046c07d2b,Sivagangai,Tamil Nadu,Alagappa Chettiar College of Engineering & Technology (Alagappa University),https://alagappauniversity.ac.in,180,,2,State entrance,Varies,Regional engineering college affiliated to Alagappa University.,alagappa_college.jpg,"B.E, M.E","Hostels, Labs",,,,,,,,,,,,,,,,,,,,,,,30000
68d2b7c25fe22b7046c07d2c,Chennai,Tamil Nadu,Anna University,https://www.annauniv.edu,38,,3,TNEA / University entrance,Varies,Large technical university governing engineering colleges in Tamil Nadu.,anna_univ.jpg,"B.E, M.E, MBA","Labs, Libraries, Hostels",,,,,,,,,,,,,,,,,,,,,,,60000
68d2b7c25fe22b7046c07d2d,Bhubaneswar,Odisha,Indian Institute of Technology Bhubaneswar,https://www.iitbbs.ac.in,70,,3,JEE Advanced,Varies,Emerging IIT with growing research.,iit_bhubaneswar.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs",,,,,,,,,,,,,,,,,,,,,,,120000
68d2b7c25fe22b7046c07d2e,Indore,Madhya Pradesh,Indian Institute of Management Indore (IIM Indore),https://www.iimidr.ac.in,4,,5,CAT,High percentile,Top management institute with excellent placements.,iim_indore.jpg,"PGP, PhD","Hostels, Corporate Relations",,,,,,,,,,,,,,,,,,,,,,,2000000
68d2b7c25fe22b7046c07d2f,Srinagar,Jammu and Kashmir,National Institute of Technology Srinagar,https://www.nitsri.ac.in,150,,3,JEE Main,Varies,Regional NIT serving Jammu & Kashmir.,nit_srinagar.jpg,"B.Tech, M.Tech","Hostels, Labs",,,,,,,,,,,,,,,,,,,,,,,70000
68d2b7c25fe22b7046c07d30,Agra,Uttar Pradesh,"Dr. B.R. Ambedkar University, Agra",http://www.dbrau.org.in,300,,2,University entrance,Varies,State public university with multiple programs.,dbrau.jpg,"BA, BSc, BCom","Hostels, Library",,,,,,,,,,,,,,,,,,,,,,,15000
68d2b7c25fe22b7046c07d31,Pune,Maharashtra,Symbiosis International University,https://www.siu.edu.in,55,,4,SET / University entrance,Varies,Large private university with management and professional programs.,symbiosis.jpg,"BA, BBA, BTech, MBA","Hostels, Incubation, Labs",,,,,,,,,,,,,,,,,,,,,,,180000
68d2b7c25fe22b7046c07d32,Hyderabad,Telangana,Indian School of Business (ISB) Hyderabad,https://www.isb.edu,1,,5,GMAT/ GRE/ Work exp,Selective,Top business school with global connections.,isb_hyderabad.jpg,"PGP, Executive Education","Hostels, Corporate Connect",,,,,,,,,,,,,,,,,,,,,,,3500000
68d2b7c25fe22b7046c07d33,Ahmedabad,Gujarat,Gujarat National Law University (GNLU),https://www.gnlu.ac.in,40,,4,CLAT/University entrance,Competitive,Leading national law university in Gujarat.,gnlu.jpg,"LLB, LLM, PhD","Hostels, Moot Court, Library",,,,,,,,,,,,,,,,,,,,,,,100000
68d2b7c25fe22b7046c07d34,Nagpur,Maharashtra,Visvesvaraya National Institute of Technology (VNIT) Nagpur,https://www.vnit.ac.in,48,,4,JEE Main,Varies,Well-established NIT with strong regional reputation.,vnit.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Library",,,,,,,,,,,,,,,,,,,,,,,80000
68d2b7c25fe22b7046c07d35,Raipur,Chhattisgarh,All India Institute of Medical Sciences (AIIMS) Raipur,https://www.aiimsraipur.edu.in,30,,4,NEET,High,Major medical institute in central India.,aiims_raipur.jpg,"MBBS, MD, MS, Nursing","Tertiary Hospital, Labs, Hostels",,,,,,,,,,,,,,,,,,,,,,,100000
68d2b7c25fe22b7046c07d36,Puducherry,Puducherry,Pondicherry University,https://www.pondiuni.edu.in,220,,2,University entrance,Varies,Central university located in Puducherry.,pondi_univ.jpg,"BA, BSc, BTech, MA","Hostels, Library",,,,,,,,,,,,,,,,,,,,,,,25000
68d2b7c25fe22b7046c07d37,Varanasi,Uttar Pradesh,Banaras Hindu University (BHU),https://www.bhu.ac.in,10,,4,University entrance / JEE Main for some,Varies,Large historic central university with many faculties.,bhu.jpg,"BTech, BA, BSc, MBBS, MA","Hostels, Hospitals, Labs",,,,,,,,,,,,,,,,,,,,,,,40000
68d2b7c25fe22b7046c07d38,Mumbai,Maharashtra,"St. Xavier's College, Mumbai",https://xaviers.edu,85,,3,University entrance,Varies,Prestigious arts and science college affiliated to University of Mumbai.,st_xaviers_mumbai.jpg,"BA, BSc, BCom","Library, Auditorium, Hostels (limited)",,,,,,,,,,,,,,,,,,,,,,,20000
68d2b7c25fe22b7046c07d39,Gandhinagar,Gujarat,Indian Institute of Technology Gandhinagar,https://www.iitgn.ac.in,50,,4,JEE Advanced,Varies,Newer IIT with modern campus and curriculum.,iit_gn.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Sports",,,,,,,,,,,,,,,,,,,,,,,100000
68d2b7c25fe22b7046c07d3a,Jaipur,Rajasthan,Malaviya National Institute of Technology Jaipur (MNIT Jaipur),https://www.mnit.ac.in,60,,4,JEE Main,Varies,Prominent NIT in Rajasthan with strong engineering programs.,mnit_jaipur.jpg,"B.Tech, M.Tech, PhD","Hostels, Labs, Library",,,,,,,,,,,,,,,,,,,,,,,90000
68e2726063d880d2fb628689,surat,gujarat,ashadeep ,https://ashadeep.co.in/,1,100000,10,na,99,good,iitbombay.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
68e2747739cd824f8a2ee7f5,Surat,GUJARAT,pm1,https://www.iitb.ac.in,1,100000,100,na,99,best,12.jpg,,,mca,bca,btech,,,,,,,good,best,,,,,,,,,,,,
